Reaction id 	 Name 	 Reason why it is unbalance 	 Sum of reactants coefficients 	 Sum of products coefficients 	 Difference between reactants and products 	 It was balanced 	 What was modified 	 Sum of reactants coefficients 	 Sum of products coefficients 	 Difference between reactants and products 
 RXN1G__45__818	 RXN1G-818	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 63}{ X: 2}{ H: 114}{ N: 3}{ O: 12}  	  { P: 1} { C: 63} { S: 2} { X: 2} { H: 115} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 63}{ X: 2}{ H: 112}{ N: 3}{ O: 12} 	 { P: 1}{ C: 63}{ S: 2}{ X: 2}{ H: 115}{ N: 3}{ O: 12} 	 { H: -3} 	 
RXN__45__9539	 RXN-9539	Reactants and product do not have the same elements  	 { R: 1}{ S: 1}{ C: 17}{ X: 1}{ H: 30}{ O: 4}  	  { S: 2} { C: 17} { X: 2} { H: 31} { O: 4}   	  { R: 1}{ S: -1}{ X: -1}{ H: -1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__202	 RXN1G-202	Reactants and product do not have the same elements  	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3}  	  { P: 1} { C: 51} { S: 2} { X: 2} { H: 91} { N: 3} { O: 12}   	  { S: -1}{ C: -48}{ X: -1}{ H: -88}{ O: -9}  	 NO 	  	  - 	 - 	 - 	 - 	 
R222__45__RXN	 R222-RXN	The sum of coefficients is different on both sides 	 { P: 2}{ C: 29}{ H: 44}{ N: 7}{ O: 16}  	  { P: 2} { C: 29} { H: 43} { N: 7} { O: 16}   	  { H: 1}  	 YES 	 Adding atoms of one element in products	 { P: 2}{ C: 29}{ H: 44}{ N: 7}{ O: 16} 	 { P: 2}{ C: 29}{ H: 44}{ N: 7}{ O: 16} 	  	 
RXN1G__45__358	 RXN1G-358	The sum of coefficients is different on both sides 	 { P: 3}{ C: 21}{ H: 27}{ N: 7}{ O: 17}  	  { P: 3} { C: 21} { H: 25} { N: 7} { O: 17}   	  { H: 2}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__17854	 RXN-17854	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 23}{ H: 34}{ N: 7}{ O: 17}  	  { P: 3} { S: 1} { C: 21} { H: 33} { N: 7} { O: 16}   	  { C: 2}{ H: 1}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN__45__9662	 RXN-9662	Reactants and product do not have the same elements  	 { P: 2}{ S: 1}{ C: 35}{ X: 1}{ H: 53}{ N: 7}{ O: 15}  	  { P: 2} { R: 1} { C: 35} { H: 53} { N: 7} { O: 15}   	  { S: 1}{ X: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
PALMITOYL__45__COA__45__HYDROLASE__45__RXN	 PALMITOYL-COA-HYDROLASE-RXN	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 37}{ H: 64}{ N: 7}{ O: 18}  	  { P: 3} { S: 1} { C: 37} { H: 63} { N: 7} { O: 18}   	  { H: 1}  	 YES 	 Adding atoms of one element in products	 { P: 3}{ S: 1}{ C: 37}{ H: 64}{ N: 7}{ O: 18} 	 { P: 3}{ S: 1}{ C: 37}{ H: 64}{ N: 7}{ O: 18} 	  	 
RXN__45__17856	 RXN-17856	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 23}{ H: 34}{ N: 7}{ O: 17}  	  { P: 3} { S: 1} { C: 21} { H: 33} { N: 7} { O: 16}   	  { C: 2}{ H: 1}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN1G__45__580	 RXN1G-580	The sum of coefficients is different on both sides 	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3}  	  { C: 1} { S: 1} { X: 1} { H: 2} { O: 2}   	  { C: 2}{ H: 1}{ O: 1}  	 YES 	 Impossible to solve by a system of equations	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3} 	 { C: 1}{ S: 1}{ X: 1}{ H: 2}{ O: 2} 	 { C: 2}{ H: 1}{ O: 1} 	 
RXN__45__10462__45__Palmitoyl__45__ACPs__47__GLYCEROL__45__3P__47____47__1__45__PALMITOYLGLYCEROL__45__3__45__PHOSPHATE__47__ACP__46__64__46__	 RXN-10462-Palmitoyl-ACPs/GLYCEROL-3P//1-PALMITOYLGLYCEROL-3-PHOSPHATE/ACP.64.	The sum of coefficients is different on both sides 	 { P: 1}{ S: 1}{ C: 19}{ X: 1}{ H: 38}{ O: 7}  	  { P: 1} { S: 1} { C: 19} { X: 1} { H: 39} { O: 7}   	  { H: -1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__15560	 RXN-15560	The sum of coefficients is different on both sides 	 { S: 1}{ C: 9}{ X: 3}{ H: 18}{ N: 3}{ O: 2}  	  { S: 1} { C: 9} { X: 4} { H: 18} { N: 3} { O: 2}   	  { X: -1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__240	 RXN1G-240	Reactants and product do not have the same elements  	 { P: 4}{ S: 1}{ C: 63}{ X: 1}{ H: 102}{ N: 10}{ O: 27}  	  { P: 3} { C: 21} { H: 25} { N: 7} { O: 17}   	  { P: 1}{ S: 1}{ C: 42}{ X: 1}{ H: 77}{ N: 3}{ O: 10}  	 NO 	  	  - 	 - 	 - 	 - 	 
_3__46__4__46__13__46__9__45__RXN	 3.4.13.9-RXN	Reactants and product do not have the same elements  	 { H: 2}{ O: 1}  	  { C: 5} { H: 9} { N: 1} { O: 2}   	  { H: -7}{ O: -1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__17121	 RXN-17121	Reactants and product do not have the same elements  	 { S: 2}{ C: 36}{ X: 2}{ H: 59}{ N: 16}{ O: 11}  	  { S: 2} { C: 28} { H: 42} { N: 12} { O: 10}   	  { C: 8}{ X: 2}{ H: 17}{ N: 4}{ O: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
_3__45__OXOACYL__45__ACP__45__SYNTH__45__BASE__45__RXN	 3-OXOACYL-ACP-SYNTH-BASE-RXN	The sum of coefficients is different on both sides 	 { S: 2}{ C: 5}{ X: 2}{ H: 6}{ O: 4}  	  { C: 5} { S: 2} { X: 2} { H: 7} { O: 4}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { S: 2}{ C: 5}{ X: 2}{ H: 4}{ O: 4} 	 { C: 5}{ S: 2}{ X: 2}{ H: 7}{ O: 4} 	 { H: -3} 	 
_2__46__7__46__7__46__64__45__RXN	 2.7.7.64-RXN	The sum of coefficients is different on both sides 	 { P: 3}{ C: 9}{ H: 12}{ N: 2}{ O: 15}  	  { P: 4} { C: 15} { H: 23} { N: 2} { O: 24}   	  { P: -1}{ C: -6}{ H: -11}{ O: -9}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
PROCOLLAGEN__45__LYSINE__45__5__45__DIOXYGENASE__45__RXN	 PROCOLLAGEN-LYSINE-5-DIOXYGENASE-RXN	The sum of coefficients is different on both sides 	 { C: 5}{ H: 4}{ O: 7}  	  { C: 5} { H: 4} { O: 6}   	  { O: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__17852	 RXN-17852	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 23}{ H: 34}{ N: 7}{ O: 17}  	  { P: 3} { S: 1} { C: 21} { H: 33} { N: 7} { O: 16}   	  { C: 2}{ H: 1}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
_3__45__OXOACYL__45__ACP__45__SYNTH__45__RXN__45__Palmitoyl__45__ACPs__47__MALONYL__45__ACP__47__PROTON__47____47__3__45__oxo__45__stearoyl__45__ACPs__47__CARBON__45__DIOXIDE__47__ACP__46__74__46__	 3-OXOACYL-ACP-SYNTH-RXN-Palmitoyl-ACPs/MALONYL-ACP/PROTON//3-oxo-stearoyl-ACPs/CARBON-DIOXIDE/ACP.74.	The sum of coefficients is different on both sides 	 { S: 2}{ C: 19}{ X: 2}{ H: 34}{ O: 4}  	  { S: 2} { C: 19} { X: 2} { H: 36} { O: 4}   	  { H: -2}  	 YES 	 Adding atoms of one element in reactans	 { S: 2}{ C: 19}{ X: 2}{ H: 31}{ O: 4} 	 { S: 2}{ C: 19}{ X: 2}{ H: 36}{ O: 4} 	 { H: -5} 	 
RXN__45__13416	 RXN-13416	The sum of coefficients is different on both sides 	 { C: 17}{ X: 2}{ H: 35}{ N: 6}{ O: 3}  	  { C: 16} { X: 3} { H: 33} { N: 5} { O: 2}   	  { C: 1}{ X: -1}{ H: 2}{ N: 1}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN1G__45__334	 RXN1G-334	Reactants and product do not have the same elements  	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3}  	  { P: 1} { C: 59} { S: 2} { X: 2} { H: 107} { N: 3} { O: 12}   	  { S: -1}{ C: -56}{ X: -1}{ H: -104}{ O: -9}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN0__45__6274	 RXN0-6274	Reactants and product do not have the same elements  	 { P: 2}{ C: 5}{ H: 9}{ O: 7}  	  { P: 4} { C: 15} { X: 2} { H: 20} { N: 5} { O: 17}   	  { P: -2}{ C: -10}{ H: -11}{ O: -10}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__10658	 RXN-10658	The sum of coefficients is different on both sides 	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3}  	  { C: 1} { S: 1} { X: 1} { H: 2} { O: 2}   	  { C: 2}{ H: 1}{ O: 1}  	 YES 	 Impossible to solve by a system of equations	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3} 	 { C: 1}{ S: 1}{ X: 1}{ H: 2}{ O: 2} 	 { C: 2}{ H: 1}{ O: 1} 	 
RXN1G__45__374	 RXN1G-374	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 71}{ X: 2}{ H: 130}{ N: 3}{ O: 12}  	  { P: 1} { C: 71} { S: 2} { X: 2} { H: 131} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 71}{ X: 2}{ H: 128}{ N: 3}{ O: 12} 	 { P: 1}{ C: 71}{ S: 2}{ X: 2}{ H: 131}{ N: 3}{ O: 12} 	 { H: -3} 	 
QOR__45__RXN	 QOR-RXN	The sum of coefficients is different on both sides 	 { P: 3}{ C: 21}{ H: 27}{ N: 7}{ O: 17}  	  { P: 3} { C: 21} { H: 25} { N: 7} { O: 17}   	  { H: 2}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__203	 RXN1G-203	The sum of coefficients is different on both sides 	 { P: 3}{ C: 21}{ H: 25}{ N: 7}{ O: 17}  	  { P: 3} { C: 21} { H: 27} { N: 7} { O: 17}   	  { H: -2}  	 NO 	  	  - 	 - 	 - 	 - 	 
GLUTAMATE__45__FORMIMINOTRANSFERASE__45__RXN	 GLUTAMATE-FORMIMINOTRANSFERASE-RXN	Reactants and product do not have the same elements  	 { C: 25}{ H: 30}{ N: 9}{ O: 10}  	  { C: 25} { X: 1} { H: 30} { N: 9} { O: 9}   	  { O: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__94	 RXN1G-94	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 69}{ X: 2}{ H: 126}{ N: 3}{ O: 12}  	  { P: 1} { C: 69} { S: 2} { X: 2} { H: 127} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 69}{ X: 2}{ H: 124}{ N: 3}{ O: 12} 	 { P: 1}{ C: 69}{ S: 2}{ X: 2}{ H: 127}{ N: 3}{ O: 12} 	 { H: -3} 	 
RXN__45__18920	 RXN-18920	Reactants and product do not have the same elements  	 { H: 2}{ O: 1}  	  { C: 6} { H: 12} { O: 6}   	  { H: -10}{ O: -5}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__324	 RXN1G-324	The sum of coefficients is different on both sides 	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3}  	  { C: 1} { S: 1} { X: 1} { H: 2} { O: 2}   	  { C: 2}{ H: 1}{ O: 1}  	 YES 	 Impossible to solve by a system of equations	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3} 	 { C: 1}{ S: 1}{ X: 1}{ H: 2}{ O: 2} 	 { C: 2}{ H: 1}{ O: 1} 	 
RXN__45__18350	 RXN-18350	The sum of coefficients is different on both sides 	 { C: 15}{ H: 12}{ O: 3}  	  { X: 1} { H: 1} { O: 1}   	  { C: 15}{ H: 11}{ O: 2}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__79	 RXN1G-79	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 57}{ X: 2}{ H: 102}{ N: 3}{ O: 12}  	  { P: 1} { C: 57} { S: 2} { X: 2} { H: 103} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 57}{ X: 2}{ H: 100}{ N: 3}{ O: 12} 	 { P: 1}{ C: 57}{ S: 2}{ X: 2}{ H: 103}{ N: 3}{ O: 12} 	 { H: -3} 	 
_2__46__3__46__1__46__135__45__RXN	 2.3.1.135-RXN	The sum of coefficients is different on both sides 	 { P: 1}{ C: 10}{ X: 2}{ H: 18}{ N: 1}{ O: 8}  	  { P: 1} { C: 30} { X: 2} { H: 48} { N: 1} { O: 9}   	  { C: -20}{ H: -30}{ O: -1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN__45__9523	 RXN-9523	The sum of coefficients is different on both sides 	 { S: 2}{ C: 9}{ X: 2}{ H: 14}{ O: 4}  	  { S: 2} { C: 9} { X: 2} { H: 15} { O: 4}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { S: 2}{ C: 9}{ X: 2}{ H: 12}{ O: 4} 	 { S: 2}{ C: 9}{ X: 2}{ H: 15}{ O: 4} 	 { H: -3} 	 
